what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328130588599
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1328130588999
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1328130605489
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1328130607469
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1328130611179
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1328130611639
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1328130614995
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328130630394
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328130644692
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328130644718
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1328130649090
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328130653881
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328130685402
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328130685424
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1328130691943
